Soil_Type,Sunlight_Hours,Water_Frequency,Fertilizer_Type,Temperature,Humidity,Growth_Milestone
loam,6.0,bi-weekly,none,22.0,55.0,1
loam,7.0,daily,organic,30.0,50.0,0
clay,6.812,weekly,organic,26.5,65.2,1
sandy,7.445,daily,chemical,18.3,48.7,0
loam,5.229,bi-weekly,organic,24.7,52.1,1
sandy,8.318,weekly,none,20.1,62.5,0
clay,6.134,daily,none,27.4,70.3,1
loam,4.789,bi-weekly,chemical,31.6,68.9,0
sandy,7.019,daily,organic,22.5,55.4,1
clay,5.932,weekly,chemical,17.8,46.2,0
loam,8.442,bi-weekly,none,19.3,54.1,1
sandy,6.356,daily,none,30.8,63.7,0
clay,9.128,weekly,organic,15.7,40.6,0
loam,4.546,daily,chemical,29.1,71.2,1
sandy,7.627,bi-weekly,organic,23.9,69.8,0
clay,8.443,daily,none,27.6,49.3,1
loam,5.689,weekly,chemical,20.8,57.5,0
sandy,4.118,bi-weekly,none,31.2,50.4,1
clay,6.917,daily,organic,18.9,67.1,0
loam,7.456,bi-weekly,none,24.6,55.9,1
sandy,8.902,daily,chemical,15.2,43.7,0
clay,5.667,weekly,organic,30.3,73.6,1
loam,9.121,bi-weekly,none,26.1,61.9,0
sandy,4.753,daily,chemical,18.7,47.4,1
clay,7.318,weekly,none,22.3,68.5,0
loam,5.589,daily,organic,31.9,52.3,1
sandy,8.556,bi-weekly,chemical,19.6,60.7,0
clay,6.127,daily,none,25.7,70.9,1
loam,4.372,weekly,organic,27.2,55.2,0
sandy,7.245,daily,none,30.4,63.4,1
clay,9.872,bi-weekly,chemical,17.1,49.7,0
loam,5.477,daily,organic,22.8,71.5,1
sandy,4.649,weekly,none,28.5,55.1,0
clay,8.512,bi-weekly,chemical,21.4,69.3,1
loam,6.832,daily,none,31.7,47.8,0
sandy,5.612,weekly,organic,19.2,61.6,1
clay,7.428,daily,none,26.9,68.2,0
loam,4.918,bi-weekly,chemical,24.3,54.9,1
sandy,8.745,weekly,none,20.6,70.5,0
clay,6.217,daily,organic,28.9,56.7,1
loam,7.134,bi-weekly,none,31.0,52.6,0
sandy,5.489,daily,chemical,18.1,69.4,1
clay,8.317,weekly,none,27.5,60.3,0
loam,6.762,daily,organic,22.9,46.5,1
sandy,4.813,bi-weekly,chemical,30.0,71.8,0
clay,7.856,weekly,none,26.2,48.1,1
loam,5.334,daily,organic,17.6,57.7,0
sandy,9.104,bi-weekly,chemical,28.2,62.1,1
clay,6.698,daily,none,21.5,69.6,0
loam,8.019,weekly,organic,27.3,55.3,1
sandy,5.163,daily,none,31.5,50.8,0
clay,7.512,bi-weekly,chemical,19.0,61.2,1
loam,4.776,weekly,none,24.8,70.7,0
sandy,8.239,daily,organic,30.7,68.3,1
clay,6.658,bi-weekly,none,27.8,54.6,0
loam,7.093,weekly,chemical,20.4,70.0,1
sandy,5.451,daily,none,31.3,46.1,0
clay,8.991,bi-weekly,organic,27.9,57.2,1
loam,6.348,weekly,none,22.6,63.1,0
sandy,4.917,daily,chemical,28.7,54.5,1
clay,7.392,bi-weekly,none,31.1,68.6,0
loam,9.043,weekly,organic,26.4,70.1,1
sandy,5.789,daily,none,20.2,55.0,0
clay,6.917,weekly,chemical,18.6,61.4,1
loam,8.263,bi-weekly,none,30.6,47.5,0
sandy,5.124,daily,organic,27.1,62.3,1
clay,7.528,weekly,none,22.0,70.4,0
loam,4.932,bi-weekly,chemical,31.4,54.0,1
sandy,8.721,daily,none,24.1,55.6,0
clay,6.341,weekly,organic,30.9,69.1,1
loam,5.813,bi-weekly,none,26.0,60.2,0
sandy,7.491,daily,chemical,28.4,54.3,1
clay,9.263,weekly,none,22.4,69.2,0
loam,4.568,bi-weekly,organic,30.1,48.0,1
sandy,6.817,daily,none,26.3,61.1,0
clay,7.945,weekly,chemical,27.0,57.6,1
loam,8.012,bi-weekly,none,20.9,55.8,0
sandy,5.233,daily,organic,31.8,47.9,1
clay,6.456,weekly,none,24.9,70.8,0
loam,7.289,bi-weekly,chemical,28.6,60.9,1
sandy,4.671,daily,none,18.4,61.5,0
clay,8.846,weekly,organic,27.7,56.8,1
loam,5.922,bi-weekly,none,26.8,70.6,0
sandy,7.321,daily,chemical,20.3,47.3,1
clay,9.034,weekly,none,31.7,61.0,0
loam,6.127,bi-weekly,organic,22.1,55.7,1
sandy,5.652,daily,none,28.0,70.2,0
clay,7.528,weekly,chemical,30.5,60.1,1
loam,4.934,bi-weekly,none,24.5,61.7,0
sandy,8.273,daily,organic,27.9,69.5,1
clay,6.732,weekly,none,21.7,56.9,0
clay,4.481402473969853,weekly,none,28.70887766443803,56.895353731668145,1
loam,7.147068337421528,weekly,none,21.64912314297424,63.04258738193142,0
clay,6.462380961937969,weekly,organic,16.13171312293431,56.92368523644868,1
clay,9.894271701451638,bi-weekly,none,22.47842094025627,62.97401788997398,1
loam,4.672233413008314,bi-weekly,chemical,33.88897165388607,45.879686488298965,1
loam,6.38713359427445,weekly,organic,27.83468794597116,36.25267882835443,1
clay,9.816822599652212,daily,chemical,28.42958297334414,59.51803789590369,1
sandy,9.193042755363882,bi-weekly,organic,27.645643072752797,44.41898020566215,0
clay,8.902432425695679,daily,none,18.979842779188736,56.8508330091653,1
clay,5.547416962269639,bi-weekly,organic,23.3666772820456,40.82575767927062,1
clay,5.025325524340395,weekly,organic,30.018795967266364,33.24918539226691,0
clay,8.011859319546586,bi-weekly,chemical,17.027457951063184,69.70327181951053,1
loam,9.576255934765515,weekly,chemical,20.557055521794247,36.248060317223974,1
clay,7.3405773580835785,bi-weekly,organic,20.526382169317074,69.53683975853924,0
sandy,7.429676136819399,weekly,none,23.64037855189012,69.09119730265789,0
loam,5.6798745619617055,weekly,none,34.6073748188437,61.752724156321584,0
sandy,8.616957599151622,weekly,chemical,16.35005093367644,56.3769184832799,1
sandy,5.12226249134514,weekly,none,25.3740198876119,53.11228201004339,0
sandy,5.942075418425462,daily,chemical,18.58729364024421,64.64406181511339,0
sandy,6.5526186316985005,weekly,none,34.413530908194886,41.57758086477952,0
loam,7.04566227210673,daily,organic,17.266070094549285,48.70724849939508,1
loam,5.454458394490482,daily,chemical,23.072020047231824,54.775598774660075,0
sandy,4.689020948435221,weekly,chemical,29.75769969669212,46.44761903477964,1
sandy,7.663720254649796,daily,organic,29.091088560548904,47.09945816361072,1
loam,5.731783319441535,bi-weekly,chemical,23.454572737878646,43.21138670008338,0
loam,7.487429328535674,weekly,none,21.930483359054364,52.56927266738144,1
loam,4.926176291645214,daily,none,22.952247571057413,64.02298112060464,1
clay,6.886840611128905,weekly,chemical,20.285525263172786,38.061135120252516,0
clay,7.195536595309515,weekly,none,19.106658774135994,67.37732155013765,1
clay,4.310941220934561,weekly,chemical,24.6607939511778,57.56350614992918,0
sandy,6.019625669163523,daily,organic,20.370675121352146,62.93092850720121,1
clay,4.8064880616338455,bi-weekly,chemical,20.749233297945004,52.247627705200465,1
sandy,4.380249822836607,bi-weekly,organic,28.13512126949114,61.18066805696254,0
sandy,9.939761394339671,daily,none,34.37074663399784,30.648015893578687,0
clay,5.934123069848338,weekly,organic,27.072744011187503,62.73521699118141,1
sandy,8.85924667512781,daily,none,16.539589341299326,31.60555436341466,1
clay,5.527843928582583,daily,chemical,16.511672277081338,65.5965350545145,0
clay,8.089016333343576,daily,none,34.02846441691132,69.67850988954572,1
loam,8.561367159338118,weekly,chemical,20.945815806146673,41.76269848707111,1
clay,7.573832443647065,daily,chemical,16.841339721649508,38.412742251431744,1
loam,6.82945713130095,weekly,organic,26.980891743007632,60.61453455432163,1
clay,6.471045484883611,daily,organic,27.47297556580532,40.12105363681013,0
clay,6.093209599257972,bi-weekly,organic,27.970096402373763,64.62249532688814,0
loam,9.577174865486956,daily,organic,20.348040557150824,34.11370368629907,0
loam,8.983716446726374,daily,none,15.302213684289502,35.03820785517433,0
clay,9.790161463999075,bi-weekly,none,34.30030738908944,69.16606220402463,0
sandy,4.745783340913269,weekly,none,20.017860913822048,56.953555930800185,0
loam,8.385204851221864,weekly,chemical,28.520525761050948,63.87548897715811,1
sandy,9.630042740926227,daily,none,29.13259739757419,42.97317509406072,0
sandy,5.087398396993961,bi-weekly,none,27.200148341589713,57.05934998082418,1
sandy,4.398977604200665,weekly,none,21.258147884272965,53.769673092343886,1
loam,8.446723895740355,daily,organic,20.421925075281315,54.12600480491788,1
sandy,7.446838679079471,bi-weekly,none,26.95336565405406,57.301298381508865,0
loam,9.050972660549633,weekly,chemical,32.32191267223383,53.01436692516394,1
sandy,4.838634259757737,weekly,organic,33.93467457846791,47.16249477210664,0
clay,8.771603871159341,bi-weekly,chemical,17.11811608807515,41.03690777522188,1
clay,5.209763920286467,bi-weekly,none,18.0965722519544,60.743253236528076,1
loam,4.981935657194227,bi-weekly,organic,33.89472517566159,39.05089720012745,0
clay,4.985594787585958,bi-weekly,chemical,29.730704566695852,57.694172246176564,1
clay,8.887448321388293,daily,none,32.65987649659546,39.33331290597307,1
sandy,7.991183324177201,bi-weekly,chemical,19.052652682706864,55.01320679817816,1
loam,7.138392548614716,weekly,chemical,26.751717422188037,59.883130685161156,1
sandy,6.152982904741015,weekly,chemical,29.022791888349474,38.748555556261564,0
sandy,9.26320324487865,daily,none,28.602237708939455,32.39773203445233,1
sandy,6.354670644535812,weekly,none,23.16303381733396,35.238949719766964,1
sandy,8.899596636829463,weekly,chemical,15.30789783382617,54.23987869084102,0
sandy,6.634809451421311,bi-weekly,organic,26.658521136085263,63.97785624902942,1
sandy,6.2616665765494455,weekly,organic,20.062030783592174,31.799872849416975,1
sandy,6.776078714017639,daily,none,24.005084922857804,59.36605036166585,1
loam,5.808267244984853,bi-weekly,none,34.151620301676346,43.65274583800208,1
clay,8.485656281057507,bi-weekly,none,22.980706352848692,49.141134796780904,0
sandy,7.016322340554875,daily,none,31.796032133288534,67.15438199382262,1
sandy,5.393276170880904,bi-weekly,none,18.770812114985024,43.278860189433814,0
sandy,9.397447439647411,bi-weekly,organic,28.449209960500575,48.61347735757944,1
sandy,6.303347328239268,daily,none,34.54013908877887,30.547296590427244,1
sandy,7.261317166683932,bi-weekly,chemical,17.037862017458735,33.26394880019353,1
sandy,9.438832665787281,daily,chemical,15.16639884454384,40.34366364539136,0
clay,7.745427975483953,daily,organic,23.671655852652286,31.114089632842976,1
clay,4.701388244250184,weekly,chemical,16.852509661027344,55.25501304193004,1
sandy,9.638992741680852,weekly,organic,29.967686993524627,47.0559342720649,0
clay,7.766248318428508,bi-weekly,organic,33.29097327697118,51.92580810912088,0
loam,6.009433687942517,bi-weekly,chemical,23.680419454175176,36.98588743585318,0
sandy,4.835632435980323,daily,none,20.17423284310882,41.83728117746465,0
loam,8.764151135621777,bi-weekly,chemical,23.688066380132195,56.552978994109004,1
loam,7.720436535571081,daily,chemical,29.46895635700002,68.612108945216,1
sandy,7.200766551857929,daily,organic,15.18108323160742,32.01667094408837,1
clay,9.363355498305745,bi-weekly,chemical,26.789079789693943,65.61537283421065,1
loam,8.731583267347185,daily,organic,27.26583369774758,53.07524805244834,0
sandy,4.910049278396507,weekly,none,27.75376493791871,52.55678267022495,1
loam,5.870332406773289,bi-weekly,none,19.840441599617545,50.011141408310415,1
loam,5.490934838886794,weekly,none,29.281054467562534,32.77576343616734,1
loam,8.463677755436063,bi-weekly,chemical,16.827829726635528,33.595074069446426,1
loam,4.201194608414676,daily,organic,18.985406729336017,54.036480226363445,0
clay,7.419338109227899,bi-weekly,none,32.54940093308964,43.63834285742233,1
loam,8.574752114444143,weekly,organic,29.774463014531328,66.69072266310722,1
loam,9.260593820570497,daily,organic,15.274911080226905,46.26362149437889,1
loam,6.052490492295445,bi-weekly,none,19.967525207396005,35.73125834810564,0
clay,8.927543828032077,bi-weekly,none,19.28812965986329,58.58875334008144,0
loam,4.663790421731243,bi-weekly,organic,20.41612656073945,41.734136857640394,1
loam,9.07871375040711,weekly,none,19.95119540559773,51.01881229423573,1
clay,4.764931973991894,weekly,organic,16.250525914856915,57.9133114202068,1
clay,6.383723743362204,bi-weekly,organic,24.178810331936408,66.01056444808282,0
clay,8.783772194677322,daily,none,29.654669495723304,61.68764779206704,1
loam,4.899504564092643,daily,chemical,27.134634494348727,57.054442714908966,1
clay,5.375508371395849,weekly,none,28.457433371961596,57.18532729580574,1
clay,8.333515410358398,daily,chemical,16.622983570724784,67.83698576128346,0
loam,8.320219219276446,weekly,organic,34.02981420353574,41.83296389986144,1
clay,7.846885797311784,bi-weekly,organic,31.769836676860496,30.044483767847495,1
loam,8.1636906668026,weekly,chemical,31.101806369913255,40.87818237592795,0
sandy,7.256346660085577,weekly,organic,31.45967610083535,38.715655185069764,0
clay,5.5107943534417165,bi-weekly,chemical,33.654210162655225,56.473383404559925,1
sandy,6.074175961023517,daily,chemical,25.885079322273953,55.34846399062116,0
loam,5.089586300808554,weekly,organic,19.00564035735252,53.73845530818895,1
clay,9.45070336800177,weekly,chemical,27.335672157050823,30.64973772837815,0
loam,7.500350768596723,bi-weekly,none,29.857629873358782,59.1511221780259,0
sandy,6.405108500581839,daily,none,29.75834786708051,42.94121649941966,1
loam,6.772034821864796,weekly,organic,25.428980483337604,56.60223956026525,1
clay,9.683700037670892,bi-weekly,organic,16.36917438667156,52.26313714008613,1
clay,4.920108418696481,weekly,chemical,22.422258768602557,43.70923701711629,0
sandy,7.517378992100784,bi-weekly,chemical,33.415332169267145,35.38305068416431,1
loam,7.035332073306796,daily,chemical,26.688978195148522,33.77675590641924,1
clay,7.668725412607887,daily,chemical,25.766638865114267,63.26073332448894,1
sandy,4.108661102925043,daily,none,20.37707028764387,66.73590168326231,1
clay,9.23274345366491,daily,none,22.368978398331578,55.99152187057199,1
clay,9.592709694901675,weekly,organic,32.90692178306338,34.13736459441934,0
loam,7.390799101535253,weekly,chemical,28.329260950536714,46.08108867552963,1
clay,8.179904943261354,daily,chemical,30.747740535046656,59.15756800420629,1
loam,9.534996287063773,daily,organic,24.086908461353104,61.192835360402725,0
clay,8.243431805880391,daily,chemical,27.60494438912316,34.728744891643544,1
sandy,4.915234257485568,weekly,chemical,19.96767217486415,30.001228753815298,1
clay,7.457730161000879,daily,chemical,29.109216605669726,58.4854818352242,1
loam,7.640290278297135,daily,chemical,23.552026674066745,44.26384703944822,1
loam,6.544784027814316,daily,chemical,23.850910296294913,40.179253264730406,1
sandy,8.418665413748336,bi-weekly,organic,27.986446491537635,30.515898791581016,0
clay,9.60620208861409,daily,chemical,33.72561242937853,51.61197627045999,0
clay,9.553411077440657,bi-weekly,organic,16.28012693217242,64.04602941703928,0
sandy,6.705036228424793,bi-weekly,chemical,31.494864746940152,68.30526585090351,1
clay,4.679428275044532,daily,none,20.84766220824386,52.62979802453157,0
clay,9.909047193774008,bi-weekly,none,23.878389090127556,50.57845310959577,1
loam,9.033388518675604,daily,none,15.43826657550018,33.40225541956964,1
clay,4.747976087219601,weekly,none,21.02092155668626,51.95491206170399,1
clay,9.525051295704234,weekly,organic,25.05262485260261,45.19916315861579,0
sandy,9.21937817237277,weekly,organic,16.12352154694878,54.285411235343076,0
sandy,7.113028342756433,weekly,chemical,24.8219145876633,45.54905391506187,0
loam,7.547652614469575,bi-weekly,none,33.54221257716854,39.611964938014665,1
clay,6.394016223220781,daily,organic,17.107864362156104,33.79861100913506,0
clay,4.328569832932188,daily,chemical,30.288814561510087,42.59673778355583,1
clay,6.011183449875405,daily,chemical,23.193421067519854,33.865793371510094,0
loam,8.81712069158807,weekly,organic,28.10347429048676,37.07587803295936,0
loam,4.027792138027618,weekly,none,20.20473195970459,69.49344634318183,1
sandy,6.000995030146865,daily,chemical,18.189845250827165,47.76414227626475,1
loam,6.38901216154566,weekly,none,18.20925228542453,51.27487066020066,0
clay,7.2243736176275375,daily,none,16.40983891286289,64.9447411494886,0
clay,9.519133698476562,daily,none,18.71293409802486,69.82275601962752,0
loam,6.078075966195767,daily,chemical,28.284387699779366,53.308577973787266,1
clay,6.081719211377366,daily,none,32.633812236870156,62.498952841766865,1
clay,8.42500748865849,daily,chemical,31.282513711823235,43.07764097346701,0
loam,6.713307645338843,daily,none,28.702686197489683,42.22975829789164,0
loam,5.347628937639891,daily,chemical,17.208637268222052,46.10814883978241,1
clay,6.71463709679616,weekly,none,20.783748925918996,56.900290506945964,0
clay,4.8451421222788,daily,organic,21.19613750644938,57.28766757020395,1
clay,5.05832191903734,daily,none,19.999138927952423,42.60957738597803,1
sandy,6.990206636436879,weekly,none,25.300113194194463,35.328396965465146,1
sandy,6.513552697027287,weekly,chemical,25.71107629759345,55.29585025862034,1
sandy,9.4890754064086,weekly,chemical,22.137719503422204,35.13303448755058,1
loam,6.174363394699799,daily,none,22.07578317472872,53.1397003291732,1
sandy,7.4835301016682605,bi-weekly,organic,31.571111958121627,57.73688512225236,0
loam,7.793585727517183,bi-weekly,organic,30.785856966393712,58.02445985577806,1
loam,4.078566739530002,weekly,chemical,21.155916633614915,60.13888442638387,1
sandy,7.9812242321002635,bi-weekly,organic,33.27576887746518,64.91437686262658,0
sandy,5.068215801218509,weekly,none,34.05630034005012,49.99835967859154,1
sandy,9.766421904816731,daily,chemical,21.534850840600818,59.20996758118285,0
clay,4.891976366518678,bi-weekly,none,22.088498975861096,54.76690941463347,1
sandy,6.487744742362143,daily,chemical,25.112683068439175,37.465597591907304,0
clay,4.512098008471863,bi-weekly,chemical,33.82241625067347,31.02758579477633,0
loam,9.981245511075684,daily,chemical,32.52638866284623,41.38165542707735,1
clay,7.013170061987456,bi-weekly,chemical,17.051359251671798,47.72134825350477,1
sandy,7.5723101039202625,daily,organic,22.854614865428324,54.68423777714625,1
loam,4.402458864330565,daily,none,26.067423794995435,63.998373220128215,1
loam,8.499762822395066,bi-weekly,none,25.0626494510308,37.84982866824662,0
loam,5.259433558573514,daily,none,18.877261358737854,35.021991595939085,0
clay,9.388325736644283,daily,chemical,32.17633542336309,68.5391978989731,0
sandy,5.2308378428920435,daily,organic,28.538815659936745,34.32178237505629,1
loam,5.144126323981999,bi-weekly,none,31.758167497036073,49.13964280428757,0
loam,4.219298007088569,bi-weekly,organic,32.175285586989446,53.42254915173207,1
loam,6.832401670659996,daily,chemical,29.967117073314796,51.65497683629753,1
clay,7.3890467995756985,daily,none,23.784212024994346,33.44128628131773,0
clay,4.394251836570114,bi-weekly,organic,27.21093510030849,32.281076560144776,1
sandy,8.653165700170064,bi-weekly,chemical,18.207308122394863,34.21933709844143,0
clay,6.7197330084881655,daily,organic,28.472908349498155,53.4235073549045,1
loam,7.14634161596548,daily,none,18.585065114785614,51.773795505372846,0
sandy,6.644576481629369,daily,none,28.878991810203136,39.34963168146977,1
loam,6.404578365251956,weekly,chemical,19.591963215079375,55.51096567382366,0
loam,7.357841987849307,bi-weekly,chemical,17.3510260030044,62.802700082225975,0
clay,4.9314414755842755,weekly,chemical,18.30568980285915,31.66315839386375,1
sandy,5.091568782971627,bi-weekly,organic,15.039842704381405,49.92519774192169,1
clay,9.170713726081104,bi-weekly,organic,29.374792357070604,57.57241648410761,0
clay,9.676692772801797,bi-weekly,organic,29.648020981167583,40.09247708278748,1
sandy,6.239855897678518,bi-weekly,chemical,25.29866699826519,42.31083621172596,1
loam,5.624468038861322,bi-weekly,none,18.227256021107674,54.54551611957535,1
loam,7.863997259434095,bi-weekly,none,16.671086750213796,65.91741173774948,0
sandy,6.452405026588578,bi-weekly,organic,15.38257932874574,62.39697681211597,0
loam,4.152318133962069,weekly,organic,18.314963539304415,53.32520876398334,1
sandy,4.936915584197142,daily,none,32.81711069966293,59.20886871028997,1
sandy,8.295833373084385,daily,none,19.830736834033637,44.59289880831194,0
clay,7.953543651460908,weekly,organic,22.085426544344315,55.63862112395031,1
sandy,4.162575955020901,weekly,organic,17.106909689626665,48.64726364510228,0
clay,5.331832971597697,weekly,none,19.447226094963405,37.59744545830244,1
loam,5.386448779528428,weekly,chemical,25.384491415604103,58.069530955090286,1
loam,8.03135646159237,bi-weekly,organic,27.15505366191305,52.25858549395288,1
loam,4.118263226526185,daily,none,19.90704628332422,44.344863278143656,0
loam,4.624651491907443,bi-weekly,none,16.154643184502344,66.45356760314523,0
clay,8.799496512239136,daily,none,22.82065738254797,30.83736471306933,0
loam,5.071267972326002,daily,none,19.68406741852668,42.63092604997984,0
